user_id,reg_time,max_duration,min_duration,avg_duration,last_session_closed,total_payment_PU,avg_payment_PPU,avg_payment,max_lvl,last_lvl_up_time
161961035,2020-10-10 13:47:56.024000,4039.162,333.255,1054.54,2020-10-13 22:49:19.271000+00:00,,,,9.0,2020-10-11 15:59:26.786004
355714429,2020-10-10 14:32:35.495000,1489.76,1415.831,1452.8,2020-10-10 22:51:21.503000+00:00,,,,3.0,2020-10-10 14:38:02.465003
63172433,2020-10-10 14:50:14.571000,1932.563,1.405,721.91,2020-10-12 23:44:58.985000+00:00,,,,8.0,2020-10-11 11:28:19.647004
2468642,2020-10-10 01:28:56.790000,107.641,7.771,57.71,2020-10-11 07:52:09.813000+00:00,,,,,
534509995,2020-10-10 04:53:22.412000,317.055,317.055,317.06,2020-10-10 11:58:39.468000+00:00,,,,2.0,2020-10-10 04:56:23.897003
263764213,2020-10-10 15:05:32.995000,862.12,862.12,862.12,2020-10-10 22:19:55.616000+00:00,,,,3.0,2020-10-10 15:11:56.638003
748229153,2020-10-10 15:24:56.121000,419.166,151.897,301.56,2020-10-11 13:58:12.994000+00:00,,,,3.0,2020-10-11 06:53:27.199003
79436125,2020-10-10 05:21:07.728000,3513.472,117.239,1198.49,2020-10-20 04:18:19.030000+00:00,,,,12.0,2020-10-18 06:25:49.633003
925487522,2020-10-10 05:24:03.194000,578.509,578.509,578.51,2020-10-10 12:33:43.515000+00:00,,,,4.0,2020-10-10 05:33:41.703003
473361850,2020-10-10 09:54:45.572000,480.276,103.707,291.99,2020-10-12 05:25:37.030000+00:00,,,,2.0,2020-10-11 22:19:27.415003
159386948,2020-10-10 11:19:46.940000,823.624,238.564,540.35,2020-10-11 18:06:21.619000+00:00,,,,4.0,2020-10-10 11:28:04.616003
292908234,2020-10-10 11:43:07.071000,626.801,626.801,626.8,2020-10-10 18:53:33.874000+00:00,,,,3.0,2020-10-10 11:48:15.880003
446584076,2020-10-10 11:47:52.775000,629.478,214.867,408.47,2020-10-14 02:37:34.705000+00:00,,,,4.0,2020-10-11 02:16:28.802004
851210768,2020-10-11 08:37:16.924000,1496.344,56.602,667.64,2020-10-16 15:01:36.401000+00:00,,,,9.0,2020-10-14 07:51:53.643000
795111404,2020-10-12 00:05:02.419000,4619.437,76.197,703.24,2020-10-21 16:25:27.571000+00:00,,,,11.0,2020-10-20 23:46:05.981003
432231376,2020-10-12 00:18:41.963000,8330.361,172.844,1211.25,2020-10-21 22:32:59.379000+00:00,,,,14.0,2020-10-20 20:14:32.900003
361903395,2020-10-12 00:47:23.684000,1392.088,10.799,658.49,2020-10-17 18:42:43.350000+00:00,,,,8.0,2020-10-14 07:34:47.008004
437219728,2020-10-12 01:33:32.794000,9682.862,83.769,1336.72,2020-10-22 00:53:39.111000+00:00,,,,9.0,2020-10-17 10:18:42.198003
864876524,2020-10-12 02:32:40.701000,147.57,147.57,147.57,2020-10-12 09:35:08.624000+00:00,,,,,
881529119,2020-10-12 03:20:52.194000,6475.818,822.427,3649.12,2020-10-12 16:45:22.350000+00:00,,,,5.0,2020-10-12 09:34:04.427003
924801734,2020-10-12 00:53:57.363000,2828.303,23.662,1425.98,2020-10-12 09:43:07.575000+00:00,,,,5.0,2020-10-12 02:37:23.791003
817236431,2020-10-10 05:58:24.872000,2068.489,2068.489,2068.49,2020-10-10 13:32:53.805000+00:00,,,,5.0,2020-10-10 06:19:06.615003
250469527,2020-10-07 00:41:56.255000,612.116,612.116,612.12,2020-10-07 07:52:08.872000+00:00,,,,4.0,2020-10-07 00:48:15.938003
